VP,FP,FN,VN,precision,recall,specificity,accuracy,w_nome,p_nome,w_nome_mae,p_nome_mae,w_dt_nasc,p_dt_nasc,w_sexo,p_sexo
422.0,15.0,138.0,425.0,0.965675057208238,0.7535714285714286,0.9659090909090909,0.847,5.15,0.18,0.15,0.64,2.2,0.47,0.45,0.37
435.0,13.0,125.0,427.0,0.9709821428571429,0.7767857142857143,0.9704545454545455,0.862,3.85,0.35,5.0,0.79,4.25,0.91,4.35,0.17
301.0,0.0,259.0,440.0,1.0,0.5375,1.0,0.741,5.15,0.65,0.55,0.3,1.0,0.97,4.4,0.92
431.0,14.0,129.0,426.0,0.9685393258426966,0.7696428571428572,0.9681818181818181,0.857,1.7,0.64,3.65,0.76,0.7,0.52,3.85,0.83
423.0,15.0,137.0,425.0,0.9657534246575342,0.7553571428571428,0.9659090909090909,0.848,3.95,0.45,2.75,0.34,0.95,0.28,0.85,0.22
301.0,0.0,259.0,440.0,1.0,0.5375,1.0,0.741,5.15,0.53,0.55,0.43,1.6,0.66,5.0,0.01
424.0,13.0,136.0,427.0,0.9702517162471396,0.7571428571428571,0.9704545454545455,0.851,2.8,0.45,5.95,0.36,0.95,0.19,2.85,0.6
436.0,7.0,124.0,433.0,0.9841986455981941,0.7785714285714286,0.9840909090909091,0.869,1.95,0.43,4.0,0.3,5.8,0.21,5.65,0.88
301.0,0.0,259.0,440.0,1.0,0.5375,1.0,0.741,5.75,0.8,3.15,0.61,1.25,0.34,2.8,0.95
541.0,51.0,19.0,389.0,0.9138513513513513,0.9660714285714286,0.884090909090909,0.93,4.8,0.56,3.6,0.43,2.5,0.9,0.0,0.32
498.0,36.0,62.0,404.0,0.9325842696629213,0.8892857142857142,0.9181818181818182,0.902,2.45,0.7,2.45,0.31,0.45,0.26,0.6,0.7
435.0,13.0,125.0,427.0,0.9709821428571429,0.7767857142857143,0.9704545454545455,0.862,2.55,0.23,3.25,0.49,2.85,0.58,3.75,0.19
558.0,12.0,2.0,428.0,0.9789473684210527,0.9964285714285714,0.9727272727272728,0.986,0.9,0.73,5.85,0.55,2.7,0.62,0.2,0.37
559.0,13.0,1.0,427.0,0.9772727272727273,0.9982142857142857,0.9704545454545455,0.986,2.15,0.42,4.5,0.49,5.15,0.47,0.2,0.68
554.0,24.0,6.0,416.0,0.9584775086505191,0.9892857142857143,0.9454545454545454,0.97,4.8,0.58,5.65,0.42,4.8,0.0,0.2,0.8
